id,function_ref,method_name,step_order,object_chain,method_call,method_parameters,object_type,return_type,method_description,timestamp,function_name
60,9,add_section_to_loft,10,loft_surface2,"loft_surface2.add_section_to_loft(i_crv, i_ori, i_point)","['i_crv', 'i_ori', 'i_point']",method,,"Add a section to a loft in CATIA. Params: `i_crv` (curve reference), `i_ori` (orientation index, integer), `i_point` (reference or VBANothing for point). Returns None. For defining additional cross-sectional shapes along the loft path, enhancing shape complexity and customization within hybrid shape modeling.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
61,9,set_start_face_for_closing,11,loft_surface2,loft_surface2.set_start_face_for_closing(i_face),['i_face'],method,,"Set the starting face for closing a HybridShapeLoft in CATIA. Params: `i_face` (Reference to the initial face). Returns: None. For defining the boundary face used when creating or modifying a lofted shape, ensuring proper closure of the geometry.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
62,9,add_section_to_loft,12,loft_surface2,"loft_surface2.add_section_to_loft(i_crv, i_ori, i_point)","['i_crv', 'i_ori', 'i_point']",method,,"Add a section to a loft in CATIA. Params: `i_crv` (curve reference), `i_ori` (orientation index, integer), `i_point` (reference or VBANothing for point). Returns None. For defining additional cross-sectional shapes along the loft path, enhancing shape complexity and customization within hybrid shape modeling.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
63,9,set_end_face_for_closing,13,loft_surface2,loft_surface2.set_end_face_for_closing(i_face),['i_face'],method,,"Set the end face for closing a HybridShapeLoft in CATIA. Params: `i_face` - Reference to the face used as an end boundary. Returns: None. For defining the closure of a lofted shape by specifying its terminating surface, ensuring proper geometry completion and integrity within the design model.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
64,9,remove_section_point,14,loft_surface2,loft_surface2.remove_section_point(i_section),['i_section'],method,,"Remove a section point from a HybridShapeLoft annotation in CATIA. Params: `self` (NO_ANNOTATION instance), `i_section` (<class 'pycatia.in_interfaces.reference.Reference'>, the section to remove). Returns: None. For modifying loft annotations by removing specific sections within a hybrid shape's geometry definition.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
65,9,remove_section_point,15,loft_surface2,loft_surface2.remove_section_point(i_section),['i_section'],method,,"Remove a section point from a HybridShapeLoft annotation in CATIA. Params: `self` (NO_ANNOTATION instance), `i_section` (<class 'pycatia.in_interfaces.reference.Reference'>, the section to remove). Returns: None. For modifying loft annotations by removing specific sections within a hybrid shape's geometry definition.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
66,9,add_guide,16,loft_surface2,loft_surface2.add_guide(i_guide),['i_guide'],method,,"Add a guide to the `HybridShapeLoft` in CATIA. Params: `self` (NO_ANNOTATION instance), `i_guide` (<class 'pycatia.in_interfaces.reference.Reference'> representing the guide). Returns: None. For defining the path or shape of a lofted feature by associating it with a specified guide reference within the CATIA environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
67,9,add_guide,17,loft_surface2,loft_surface2.add_guide(i_guide),['i_guide'],method,,"Add a guide to the `HybridShapeLoft` in CATIA. Params: `self` (NO_ANNOTATION instance), `i_guide` (<class 'pycatia.in_interfaces.reference.Reference'> representing the guide). Returns: None. For defining the path or shape of a lofted feature by associating it with a specified guide reference within the CATIA environment.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
68,9,section_coupling,18,loft_surface2,loft_surface2.section_coupling = 1,['1'],property,,"The `section_coupling` method in the `HybridShapeLoft` class establishes a coupling between sections of a lofted shape within CATIA, ensuring consistent alignment or transformation across these sections. Params: None. Returns: None. For use cases where maintaining geometric relationships between different sections during modifications is crucial, such as in complex surface modeling and design adjustments.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
69,9,relimitation,19,loft_surface2,loft_surface2.relimitation = 1,['1'],property,,"Set the ribbon limitation mode of a `HybridShapeFilletBiTangent` object to control its behavior during fillet creation. Params: None. Returns: None. For adjusting how the fillet's tangent continuity is managed, ensuring smooth transitions in complex hybrid shape designs within CATIA.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
70,9,name,20,loft_surface2,loft_surface2.name = 'Multi-sections Surface.2',"[""'Multi-sections Surface.2'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
71,9,append_hybrid_shape,21,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
72,9,update,22,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Create_Lower_Loft_Surface
73,10,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Add_Thickness
74,10,add_new_volume_thick_surface,2,shape_factory,"shape_factory.add_new_volume_thick_surface(i_offset_element, i_isens_offset, i_top_offset, i_bot_offset)","['i_offset_element', 'i_isens_offset', 'i_top_offset', 'i_bot_offset']",method,<class 'pycatia.part_interfaces.thick_surface.ThickSurface'>,"Create a new thick surface in CATIA. Params: `i_offset_element` (Reference to offset element), `i_isens_offset` (Integer for sense of offset), `i_top_offset` (Float for top offset distance), `i_bot_offset` (Float for bottom offset distance). Returns a ThickSurface object. For generating 3D shapes with specified thickness in part design.",2025-10-09 20:43:39,Add_Thickness
75,10,name,3,thick_surface1,thick_surface1.name = 'ThickSurface.1',"[""'ThickSurface.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Add_Thickness
76,10,update,4,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Add_Thickness
77,11,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 20:43:39,Mirror_Wing
78,11,add_new_symmetry,2,hybrid_shape_factory,"hybrid_shape_factory.add_new_symmetry(i_object, i_reference)","['i_object', 'i_reference']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_symmetry.HybridShapeSymmetry'>,"Add a new symmetry to a CATIA hybrid shape. Params: `i_object` (Reference to the target object), `i_reference` (Reference defining the symmetry plane). Returns a `HybridShapeSymmetry` instance representing the added symmetry. For creating symmetrical features in hybrid shapes within CATIA using PyCATIA.",2025-10-09 20:43:39,Mirror_Wing
79,11,name,3,symmetry1,symmetry1.name = 'Symmetry.1',"[""'Symmetry.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Mirror_Wing
80,11,volume_result,4,symmetry1,symmetry1.volume_result = True,['True'],property,,"Calculate the volume of a hybrid shape affinity in CATIA. Class: HybridShapeAffinity. Params: None. Returns: None, but updates the `volume_result` property with the calculated volume. For determining the volumetric properties of complex assemblies or components within CATIA for design analysis and validation purposes.",2025-10-09 20:43:39,Mirror_Wing
81,11,append_hybrid_shape,5,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Mirror_Wing
82,11,update,6,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Mirror_Wing
83,12,item,1,hybrid_shapes,hybrid_shapes.item(i_index),['i_index'],method,AnyObject,"Retrieve a specific annotation item from an analysis case in CATIA. Params: `id_name` (str) - the identifier of the annotation to retrieve. Returns: AnyObject representing the requested annotation item. For accessing or manipulating individual annotations within an ABQAnalysisCase object, facilitating targeted operations on analysis results.",2025-10-09 20:43:39,Control_Element_Visibility
84,12,add,2,selection,selection.add(i_analysis_type),['i_analysis_type'],method,<class 'pycatia.abq_automation_interfaces.abq_analysis_case.ABQAnalysisCase'>,"Add an analysis type to the ABQAnalysisCases collection in CATIA. Params: `self` (NO_ANNOTATION instance), `i_analysis_type` (string specifying analysis type). Returns a new ABQAnalysisCase object representing the added case. For integrating specific analysis types into existing automation workflows within CATIA's Analysis module.",2025-10-09 20:43:39,Control_Element_Visibility
85,12,set_show,3,vis_properties,vis_properties.set_show(i_show),['i_show'],method,,"Locks or unlocks the display of only filtered objects in a CATIA annotation setting. Params: `i_locked` (bool) - determines if filtering is locked (`True`) or unlocked (`False`). Returns: None. For controlling visibility settings within CATIA's manufacturing hub annotations, ensuring consistent view configurations during design reviews or documentation processes.",2025-10-09 20:43:39,Control_Element_Visibility
86,12,clear,4,selection,selection.clear(),[],method,,"Clears support annotations from a `NO_ANNOTATION` instance in CATIA. Params: `self` - the `ABQMassScaling` object containing annotation data. Returns: None. For removing existing support annotations to reset or update them as needed within the CATIA environment, ensuring no residual supports affect subsequent operations.",2025-10-09 20:43:39,Control_Element_Visibility
87,13,add_new_direction,1,hybrid_shape_factory,hybrid_shape_factory.add_new_direction(i_element),['i_element'],method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_direction.HybridShapeDirection'>,Add a new direction to an annotation in CATIA. Params: `i_element` (Reference to the target element). Returns a HybridShapeDirection object representing the newly added direction. For defining directional attributes within hybrid shape annotations in CATIA models.,2025-10-09 21:27:57,Create_Support_Extrude
88,13,add_new_extrude,2,hybrid_shape_factory,"hybrid_shape_factory.add_new_extrude(i_object_to_extrude, i_offset_debut, i_offset_fin, i_direction)","['i_object_to_extrude', 'i_offset_debut', 'i_offset_fin', 'i_direction']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_extrude.HybridShapeExtrude'>,"Create a new extrusion in CATIA's Hybrid Shape environment. Params: `i_object_to_extrude` (Reference to the object for extrusion), `i_offset_debut` (float, starting offset of extrusion), `i_offset_fin` (float, ending offset of extrusion), `i_direction` (HybridShapeDirection, direction of extrusion). Returns a HybridShapeExtrude object. For generating 3D shapes through linear extrusion in hybrid modeling scenarios.",2025-10-09 21:27:57,Create_Support_Extrude
89,13,name,3,extrude3,extrude3.name = 'Extrude.3',[],property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 21:27:57,Create_Support_Extrude
90,13,append_hybrid_shape,4,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 21:27:57,Create_Support_Extrude
91,13,update,5,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 21:27:57,Create_Support_Extrude
92,14,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 21:27:57,Join_Surfaces
93,14,create_reference_from_object,2,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 21:27:57,Join_Surfaces
94,14,add_new_join,3,hybrid_shape_factory,"hybrid_shape_factory.add_new_join(element1, element2)","['element1', 'element2']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_assemble.HybridShapeAssemble'>,"Create a new join between two elements in CATIA's Hybrid Shape environment. Params: `element1` (Reference to the first element), `element2` (Reference to the second element). Returns: A `HybridShapeAssemble` object representing the created join. For integrating and assembling multiple hybrid shape components within a single assembly context.",2025-10-09 21:27:57,Join_Surfaces
95,14,name,4,final_join,final_join.name = 'Join.3',[],property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 21:27:57,Join_Surfaces
96,14,check_tangency,5,final_join,final_join.check_tangency = False,[],,,,2025-10-09 21:27:57,Join_Surfaces
97,14,check_connectivity,6,final_join,final_join.check_connectivity = True,[],,,,2025-10-09 21:27:57,Join_Surfaces
98,14,check_manifold,7,final_join,final_join.check_manifold = True,[],,,,2025-10-09 21:27:57,Join_Surfaces
99,14,simplify_result,8,final_join,final_join.simplify_result = False,[],,,,2025-10-09 21:27:57,Join_Surfaces
100,14,ignore_erroneous_elements,9,final_join,final_join.ignore_erroneous_elements = False,[],,,,2025-10-09 21:27:57,Join_Surfaces
101,14,merging_distance,10,final_join,final_join.merging_distance = 0.001,[],property,,"The `merging_distance` method in the HybridShapeHealing class sets or retrieves the merging distance for healing operations on hybrid shapes within CATIA. Params: None. Returns: The current merging distance value as a float, if retrieved; otherwise, it modifies the internal state without returning anything. For use cases involving automated adjustments of proximity thresholds to control how closely parts are merged during shape healing processes in CAD models.",2025-10-09 21:27:57,Join_Surfaces
102,14,heal_merged_cells,11,final_join,final_join.heal_merged_cells = False,[],,,,2025-10-09 21:27:57,Join_Surfaces
103,14,angular_threshold,12,final_join,final_join.angular_threshold = 0.5,[],property,,"Set the angular threshold for hybrid shape extraction in CATIA. Class: HybridShapeExtract. Params: None. Returns: None. For configuring sensitivity to surface angles during feature recognition, ensuring accurate geometry interpretation by adjusting the angle limit that determines which surfaces are considered connected or separate. This method modifies internal settings without creating new objects.",2025-10-09 21:27:57,Join_Surfaces
104,14,append_hybrid_shape,13,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 21:27:57,Join_Surfaces
105,14,update,14,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 21:27:57,Join_Surfaces
106,15,add_new_direction,1,hybrid_shape_factory,hybrid_shape_factory.add_new_direction(i_element),['i_element'],method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_direction.HybridShapeDirection'>,Add a new direction to an annotation in CATIA. Params: `i_element` (Reference to the target element). Returns a HybridShapeDirection object representing the newly added direction. For defining directional attributes within hybrid shape annotations in CATIA models.,2025-10-09 21:44:27,Extrude_Spline
107,15,add_new_extrude,2,hybrid_shape_factory,"hybrid_shape_factory.add_new_extrude(i_object_to_extrude, i_offset_debut, i_offset_fin, i_direction)","['i_object_to_extrude', 'i_offset_debut', 'i_offset_fin', 'i_direction']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_extrude.HybridShapeExtrude'>,"Create a new extrusion in CATIA's Hybrid Shape environment. Params: `i_object_to_extrude` (Reference to the object for extrusion), `i_offset_debut` (float, starting offset of extrusion), `i_offset_fin` (float, ending offset of extrusion), `i_direction` (HybridShapeDirection, direction of extrusion). Returns a HybridShapeExtrude object. For generating 3D shapes through linear extrusion in hybrid modeling scenarios.",2025-10-09 21:44:27,Extrude_Spline
108,15,name,3,extrude1,extrude.name = 'Extrude.N',"[""'Extrude.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 21:44:27,Extrude_Spline
109,15,append_hybrid_shape,4,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 21:44:27,Extrude_Spline
110,15,update,5,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 21:44:27,Extrude_Spline
111,16,create_reference_from_object,1,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 21:44:27,Create_Spline
112,16,create_reference_from_object,2,part,part.create_reference_from_object(i_object),['i_object'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"Create a reference to a CATIA object within the AnalysisManager context. Params: `i_object` (AnyObject instance representing the target object). Returns a Reference instance linked to the specified object. For integrating external objects into analysis workflows, enabling further manipulation or evaluation in PyCATIA's environment.",2025-10-09 21:44:27,Create_Spline
113,16,add_new_spline,3,hybrid_shape_factory,hybrid_shape_factory.add_new_spline(),[],method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_spline.HybridShapeSpline'>,"Add a new spline to the CATIA HybridShape context. Params: `self` (NO_ANNOTATION instance). Returns a `HybridShapeSpline` object representing the newly added spline. For creating or modifying splines within hybrid shape designs in PyCATIA, facilitating advanced geometric modeling and customization of complex shapes.",2025-10-09 21:44:27,Create_Spline
114,16,spline_type,4,spline1,spline.spline_type = 0,['0'],method,<class 'int'>,"Determine the spline type of a HybridShapeSpline annotation in CATIA. Params: `self` - an instance of NO_ANNOTATION representing the spline annotation. Returns: An integer indicating the specific type of spline used. For identifying and categorizing different spline configurations within hybrid shape annotations in CATIA models, facilitating further manipulation or analysis based on spline characteristics.",2025-10-09 21:44:27,Create_Spline
115,16,closing,5,spline1,spline.closing = 0,['0'],method,<class 'pycatia.in_interfaces.reference.Reference'>,"**Purpose:** Retrieve the closing point of a blend limit in a HybridShapeBlend annotation. **Action:** Get closing point from `NO_ANNOTATION`. **Params:** - `i_blend_limit` (int): Index specifying which blend limit to use. **Returns:** A `Reference` object pointing to the closing point in CATIA. **Use Case:** Useful for accessing specific geometric points within a blended shape's annotation, aiding in precise modeling and analysis tasks.",2025-10-09 21:44:27,Create_Spline
116,16,add_point_with_constraint_from_curve,6,spline1,"spline.add_point_with_constraint_from_curve(ip_ia_point, ip_ia_curve_cst, i_tangency_norm, i_invert_value, i_crv_cst_type)","['ip_ia_point', 'ip_ia_curve_cst', 'i_tangency_norm', 'i_invert_value', 'i_crv_cst_type']",method,,"Add a constrained point to a spline from a curve in CATIA's HybridShapeSpline. Params: `ip_ia_point` (Reference to the point), `ip_ia_curve_cst` (Reference to the constraining curve), `i_tangency_norm` (Tangency normalization factor as float), `i_invert_value` (Inversion flag as int), `i_crv_cst_type` (Curve constraint type as int). Returns: None. For defining precise spline shapes by adding points with specific constraints derived from curves, allowing for controlled tangency and orientation ad",2025-10-09 21:44:27,Create_Spline
117,16,add_point,7,spline1,"spline.add_point(i_num, i_x, i_y)","['i_num', 'i_x', 'i_y']",method,<class 'tuple'>,"Add points to a route in the SchGRRRoute class within CATIA. Parameters: `i_l_db2_pt_path_to_add` (tuple of point paths to add), `i_after_which_pt_num` (integer specifying insertion index). Returns a tuple indicating success or failure. For modifying existing routes by inserting new intermediate points at specified positions.",2025-10-09 21:44:27,Create_Spline
118,16,name,8,spline1,spline.name = 'Spline.N',"[""'Spline.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 21:44:27,Create_Spline
119,16,append_hybrid_shape,9,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 21:44:27,Create_Spline
120,16,update,10,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 21:44:27,Create_Spline
121,17,add_new_point_on_plane,1,hybrid_shape_factory,"hybrid_shape_factory.add_new_point_on_plane(i_plane, i_x, i_y)","['i_plane', 'i_x', 'i_y']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_point_on_plane.HybridShapePointOnPlane'>,"Add a new point on a specified plane in CATIA. Params: `i_plane` (Reference to the target plane), `i_x` (X-coordinate of the point), `i_y` (Y-coordinate of the point). Returns a `HybridShapePointOnPlane` object representing the created point. For defining precise locations within a 2D space on a given plane in CATIA's hybrid shape environment.",2025-10-09 21:44:27,Create_Point
122,17,name,2,point1,point.name = 'Point.N',"[""'Point.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 21:44:27,Create_Point
123,17,append_hybrid_shape,3,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 21:44:27,Create_Point
124,17,update,4,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 21:44:27,Create_Point
